02+0306.  03+0000.  04+00.00  05+00.00  06+00.00  07+247.8  08+25.89  09+559.8  10+711.4  11+13.64
02+0306.  03+0000.  04+01.00  05+00.00  06+00.00  07+212.1  08+25.89  09+564.7  10+699.1  11+13.65
02+0306.  03+0000.  04+02.00  05+00.00  06+00.00  07+245.4  08+25.89  09+582.0  10+729.9  11+13.65
02+0306.  03+0000.  04+03.00  05+00.00  06+00.00  07+219.5  08+25.89  09+558.5  10+727.5  11+13.64
02+0306.  03+0000.  04+04.00  05+00.00  06+00.00  07+186.2  08+25.89  09+548.7  10+711.4  11+13.64
02+0306.  03+0000.  04+05.00  05+00.00  06+00.00  07+185.0  08+24.66  09+570.9  10+728.7  11+13.64
02+0306.  03+0000.  04+06.00  05+00.00  06+00.00  07+207.1  08+25.89  09+568.4  10+733.6  11+13.65
02+0306.  03+0000.  04+07.00  05+00.00  06+00.00  07+196.0  08+24.66  09+562.2  10+722.5  11+13.64
02+0306.  03+0000.  04+08.00  05+00.00  06+00.00  07+192.3  08+24.66  09+568.4  10+721.3  11+13.65
02+0306.  03+0000.  04+09.00  05+00.00  06+00.00  07+187.4  08+24.66  09+569.6  10+729.9  11+13.64
02+0306.  03+0000.  04+10.00  05+00.00  06+00.00  07+197.3  08+24.66  09+556.1  10+695.4  11+13.65
02+0306.  03+0000.  04+11.00  05+00.00  06+00.00  07+191.1  08+25.89  09+558.5  10+706.5  11+13.65
02+0306.  03+0000.  04+12.00  05+00.00  06+00.00  07+203.4  08+24.66  09+552.4  10+732.4  11+13.64
02+0306.  03+0000.  04+13.00  05+00.00  06+00.00  07+228.1  08+24.66  09+551.2  10+709.0  11+13.65
02+0306.  03+0000.  04+14.00  05+00.00  06+00.00  07+225.6  08+24.66  09+549.9  10+711.4  11+13.64
02+0306.  03+0000.  04+15.00  05+00.00  06+00.00  07+188.6  08+23.43  09+582.0  10+731.2  11+13.64
02+0306.  03+0000.  04+16.00  05+00.00  06+00.00  07+180.0  08+24.66  09+563.5  10+711.4  11+13.64
02+0306.  03+0000.  04+17.00  05+00.00  06+00.00  07+183.7  08+24.66  09+567.2  10+706.5  11+13.64
02+0306.  03+0000.  04+18.00  05+00.00  06+00.00  07+230.6  08+25.89  09+569.6  10+728.7  11+13.64
02+0306.  03+0000.  04+19.00  05+00.00  06+00.00  07+204.7  08+24.66  09+556.1  10+712.7  11+13.65
02+0306.  03+0000.  04+20.00  05+00.00  06+00.00  07+186.2  08+25.89  09+568.4  10+718.8  11+13.64
02+0306.  03+0000.  04+21.00  05+00.00  06+00.00  07+186.2  08+25.89  09+568.4  10+718.8  11+13.64
02+0306.  03+0000.  04+22.00  05+00.00  06+00.00  07+202.2  08+24.66  09+562.2  10+723.8  11+13.64
02+0306.  03+0000.  04+23.00  05+00.00  06+00.00  07+202.2  08+24.66  09+562.2  10+723.8  11+13.64
02+0306.  03+0000.  04+24.00  05+00.00  06+00.00  07+193.6  08+24.66  09+564.7  10+725.0  11+13.64
02+0306.  03+0000.  04+25.00  05+00.00  06+00.00  07+193.6  08+25.89  09+559.8  10+723.8  11+13.65
02+0306.  03+0000.  04+26.00  05+00.00  06+00.00  07+217.0  08+25.89  09+564.7  10+711.4  11+13.64
02+0306.  03+0000.  04+27.00  05+00.00  06+00.00  07+229.3  08+25.89  09+557.3  10+733.6  11+13.64
02+0306.  03+0000.  04+28.00  05+00.00  06+00.00  07+230.6  08+25.89  09+552.4  10+705.3  11+13.65
02+0306.  03+0000.  04+29.00  05+00.00  06+00.00  07+205.9  08+25.89  09+556.1  10+691.7  11+13.64
02+0306.  03+0000.  04+30.00  05+00.00  06+00.00  07+213.3  08+25.89  09+564.7  10+725.0  11+13.64
02+0306.  03+0000.  04+31.00  05+00.00  06+00.00  07+198.5  08+24.66  09+556.1  10+705.3  11+13.64
02+0306.  03+0000.  04+32.00  05+00.00  06+00.00  07+173.9  08+24.66  09+559.8  10+710.2  11+13.64
02+0306.  03+0000.  04+33.00  05+00.00  06+00.00  07+204.7  08+24.66  09+547.5  10+707.7  11+13.64
02+0306.  03+0000.  04+34.00  05+00.00  06+00.00  07+188.6  08+24.66  09+558.5  10+709.0  11+13.64
02+0306.  03+0000.  04+35.00  05+00.00  06+00.00  07+181.3  08+24.66  09+557.3  10+701.6  11+13.65
02+0306.  03+0000.  04+36.00  05+00.00  06+00.00  07+218.2  08+27.13  09+559.8  10+720.1  11+13.64
02+0306.  03+0000.  04+37.00  05+00.00  06+00.00  07+193.6  08+25.89  09+556.1  10+689.2  11+13.64
02+0306.  03+0000.  04+38.00  05+00.00  06+00.00  07+186.2  08+24.66  09+564.7  10+702.8  11+13.64
02+0306.  03+0000.  04+39.00  05+00.00  06+00.00  07+191.1  08+24.66  09+563.5  10+707.7  11+13.65
02+0306.  03+0000.  04+40.00  05+00.00  06+00.00  07+244.1  08+25.89  09+543.8  10+706.5  11+13.64
02+0306.  03+0000.  04+41.00  05+00.00  06+00.00  07+220.7  08+24.66  09+554.9  10+705.3  11+13.64
02+0306.  03+0000.  04+42.00  05+00.00  06+00.00  07+204.7  08+24.66  09+553.6  10+726.2  11+13.64
02+0306.  03+0000.  04+43.00  05+01.23  06+00.00  07+212.1  08+24.66  09+556.1  10+711.4  11+13.64
02+0306.  03+0000.  04+44.00  05+00.00  06+00.00  07+183.7  08+24.66  09+552.4  10+709.0  11+13.65
02+0306.  03+0000.  04+45.00  05+00.00  06+00.00  07+182.5  08+24.66  09+568.4  10+739.8  11+13.65
02+0306.  03+0000.  04+46.00  05+00.00  06+00.00  07+175.1  08+24.66  09+563.5  10+716.4  11+13.65
02+0306.  03+0000.  04+47.00  05+00.00  06+00.00  07+182.5  08+25.89  09+564.7  10+734.9  11+13.64
02+0306.  03+0000.  04+48.00  05+00.00  06+00.00  07+182.5  08+25.89  09+564.7  10+734.9  11+13.64
02+0306.  03+0000.  04+49.00  05+00.00  06+00.00  07+220.7  08+24.66  09+565.9  10+710.2  11+13.64
02+0306.  03+0000.  04+50.00  05+00.00  06+00.00  07+220.7  08+24.66  09+565.9  10+710.2  11+13.64
02+0306.  03+0000.  04+51.00  05+00.00  06+00.00  07+197.3  08+24.66  09+561.0  10+702.8  11+13.64
02+0306.  03+0000.  04+52.00  05+00.00  06+00.00  07+180.0  08+24.66  09+551.2  10+706.5  11+13.64
02+0306.  03+0000.  04+53.00  05+00.00  06+00.00  07+196.0  08+25.89  09+548.7  10+691.7  11+13.65
02+0306.  03+0000.  04+54.00  05+00.00  06+00.00  07+183.7  08+24.66  09+557.3  10+707.7  11+13.64
02+0306.  03+0000.  04+55.00  05+00.00  06+00.00  07+175.1  08+24.66  09+556.1  10+706.5  11+13.65
02+0306.  03+0000.  04+56.00  05+00.00  06+00.00  07+167.7  08+24.66  09+559.8  10+716.4  11+13.65
02+0306.  03+0000.  04+57.00  05+00.00  06+00.00  07+201.0  08+24.66  09+565.9  10+723.8  11+13.64
